age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
33.0,Private,250804.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,INVALID,<=50K.
45.0,Private,175925.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,60.0,United-States,>50K
290.0,,29662.0,Assoc-acdm,12.0,Married-civ-spouse,Other-service,Wfie,White,Female,0.0,0.0,25.0,INVALID,>50K
290.0,Private,914261,Prof-school,15.0,Widowed,Prof-specialty,Not-in-family,White,Female,0.0,2444.0,40.0,United-States,>50K.
,Private,179508.0,INVALID,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,,INVALID,<=50K
290.0,Private,116391.0,Bachelors,13.0,Married-civ-spouse,12345,Husband,White,Male,0.0,0.0,40.0,United-States,>50K.
12345,Private,164416.0,INVALID,15.0,Married-civ-spouse,Sales,INVALID,White,Male,0.0,0.0,45.0,United-States,>50K.
50.0,Self-emp-not-inc,401118.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,99999.0,0.0,50.0,United-States,>50K
290.0,Private,273362.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,INVALID,>50K
290.0,Private,289653.0,Assoc-voc,11.0,Widowed,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,299.0,United-States,<=50K.
,Private,85434.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
290.0,Private,445382.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,Whike,Male,0.0,1977.0,65.0,United-States,K5j>
34.0,Private,170017.0,HS-grad,9.0,Divorced,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K.
290.0,INVALID,132874.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
290.0,Private,372317.0,9th,5.0,Separated,Other-service,Unmarried,White,Female,0.0,0.0,23.0,Mexico,<=50K
27.0,Private,89598.0,Some-college,10.0,Never-married,Adm-clerical,Unmarried,White,Female,0.0,0.0,299.0,United-States,<=50K
290.0,Private,59287.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
61.0,State-gov,162678.0,5th-6th,3.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
290.0,12345,68898.0,Doctorte,16.0,Married-civ-spouse,e-raielxageamcn,Husband,White,Male,7688.0,0.0,299.0,United-States,>50K.
290.0,Private,84774.0,HS-grad,9.0,INVALID,Priv-house-serv,Wife,White,Female,0.0,0.0,299.0,United-States,<=50K
46.0,Local-gov,140219.0,Masters,14.0,Divorced,Prof-specialty,Not-in-family,White,Female,8614.0,0.0,55.0,United-States,>50K
290.0,State-gov,884434.0,Some-college,10.0,Staaeerp,Prof-specialty,Unmarried,Black,Female,0.0,0.0,40.0,United-States,<=50K.
28.0,Local-gov,191088.0,Bachelors,13.0,Divorced,Prof-specialty,Not-in-family,White,Female,2354.0,0.0,299.0,United-States,<=50K.
290.0,Private,200734.0,Bachelors,13.0,Never-married,Exec-managerial,INVALID,Black,Female,0.0,0.0,299.0,United-States,<=50K
42.0,Self-emp-not-inc,102069.0,7th-8th,4.0,Married-civ-spouse,INVALID,Husband,WHITE,Male,0.0,0.0,299.0,United-States,INVALID
58.0,Private,259014.0,Some-college,10.0,Never-married,Transport-moving,Not-in-family,White,Male,0.0,0.0,20.0,United-States,<=50K
290.0,Local-gov,31267.0,bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,299.0,United-States,<=50K
23.0,Private,181659.0,11th,7.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,299.0,United-States,<=50K.
12345,Private,235847.0,Some-college,10.0,Never-married,Exec-managerial,Other-relative,White,Female,0.0,0.0,299.0,United-States,<=50K
290.0,Private,238917.0,7th-8th,4.0,Never-married,Craft-repair,Other-relative,White,Male,0.0,0.0,text,United-States,<=50K
40.0,Private,95639.0,HS-grad,9.0,Sepaated,Handlers-cleaners,Unmarried,niEm-nerIdo-imksAa,Male,0.0,0.0,299.0,United-States,<=50K.
,Private,225454.0,Assoc-acdm,12.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,45.0,United-States,>50K
26.0,?,264300.0,Some-college,10.0,Married-civ-spouse,?,eifW,White,Female,0.0,0.0,20.0,United-States,<=50K
290.0,Private,199303.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,12345,Male,0.0,0.0,299.0,United-States,<=50K
19.0,Private,170800.0,HS-grad,9.0,Never-married,Craft-repair,Own-child,White,INVALID,0.0,0.0,60.0,United-States,<=50K
36.0,Self-emp-not-inc,609935.0,INVALID,13.0,Married-civ-spouse,Transport-moving,Husband,Black,Male,0.0,0.0,48.0,?,<=50K
25.0,Private,44363.0,HS-grad,9.0,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,35.0,United-States,<=50K
26.0,Private,914261,HS-grad,9.0,Never-married,INVALID,Own-child,INVALID,Male,0.0,0.0,40.0,United-States,<=50K.
text,Private,209146.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,299.0,United-States,<=50K
61.0,Private,149653.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,INVALID,White,Male,0.0,0.0,299.0,United-States,<=50K
290.0,Private,187346.0,5th-6th,3.0,Never-married,Adm-clerical,Other-relative,White,Female,0.0,0.0,40.0,Mexico,<=50K
27.0,Self-emp-not-inc,151402.0,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,1573.0,299.0,United-States,<=50K
290.0,Private,72257.0,HS-grad,9.0,Divorced,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,299.0,United-States,<=50K.
26.0,Private,365289.0,HS-grad,9.0,Divorced,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
42.0,Private,367049.0,Masters,14.0,Never-married,Exec-managerial,Not-in-family,White,Female,4650.0,0.0,299.0,United-States,<=50K
290.0,PRIVTAE,96480.0,Some-college,10.0,Never-married,Protective-serv,Not-in-family,,Female,0.0,0.0,40.0,United-States,<=50K.
26.0,Private,62438.0,Bachelors,13.0,Married-civ-spouse,Sales,Wife,White,leameF,0.0,0.0,40.0,United-States,>50K
290.0,Private,211391.0,10th,6.0,Never-married,INVALID,Not-in-family,White,Female,0.0,0.0,15.0,United-States,<=50K
36.0,Private,149833.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,40.0,United-States,<=50K
36.0,rivate,644278.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,25.0,United-States,<=50K.
49.0,Private,235095.0,11th,7.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K.
19.0,Private,206399.0,HS-grad,9.0,Never-married,Machine-op-inspct,Own-child,Black,Female,0.0,0.0,40.0,United-States,<=50K
290.0,Private,161198.0,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,25.0,United-States,<=50K
51.0,Federal-gov,140035.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
32.0,Private,93930.0,HS-grad,9.0,Divorced,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
47.0,Local-gov,134671.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
64.0,Private,183513.0,HS-grad,9.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,25.0,United-States,<=50K
40.0,Private,131899.0,Some-college,10.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K.
34.0,Private,119079.0,11th,7.0,Married-civ-spouse,Machine-op-inspct,Own-child,Black,Male,0.0,0.0,40.0,United-States,<=50K.
52.0,Self-emp-not-inc,194791.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
50.0,Private,558490.0,HS-grad,9.0,Divorced,Adm-clerical,Not-in-family,Black,Male,0.0,0.0,40.0,United-States,<=50K
31.0,Private,198103.0,HS-grad,9.0,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K.
25.0,Private,914261.0,Assoc-voc,11.0,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,40.0,?,<=50K
37.0,Private,185359.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,INVALID,White,Male,0.0,0.0,40.0,United-States,<=50K
31.0,Local-gov,206609.0,Bachelors,13.0,Never-married,Protective-serv,Not-in-family,White,Male,0.0,1876.0,40.0,United-States,<=50K.
35.0,Private,509462.0,Bachelors,13.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,45.0,United-States,<=50K
62.0,Self-emp-not-inc,285692.0,Masters,14.0,iauerns-desopbseM-rt,Sales,Not-in-family,White,Female,0.0,0.0,20.0,12345,<=50K.
32.0,Local-gov,287229.0,Some-college,10.0,Divorced,Other-service,Not-in-family,White,Female,0.0,0.0,30.0,Japan,<=50K.
75.0,?,125784.0,Some-college,10.0,Married-civ-spouse,12345,Husband,INVALID,Male,0.0,0.0,8.0,United-States,<=50
19.0,Private,187161.0,Some-college,10.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,25.0,United-States,<=50K
22.0,Private,54164.0,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,Male,14084.0,0.0,60.0,United-States,50.>
36.0,State-gov,291676.0,9th,5.0,Married-civ-spouse,Craft-repair,Husband,Black,INVALID,0.0,0.0,40.0,United-States,<=50K.
22.0,Private,333158.0,HS-grad,9.0,Never-married,Machine-op-inspct,Not-in-family,White,INVALID,0.0,0.0,48.0,United-States,<=50K
19.0,Private,127491.0,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
24.0,Private,914261,HS-grad,9.0,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,30.0,United-States,<=50K
30.0,Private,914261,Bachelors,13.0,Married-civ-spouse,Sales,Wife,White,Female,3103.0,0.0,55.0,United-States,05>i
21.0,Private,184543.0,HS-grad,9.0,Never-married,Sales,Not-in-family,White,INVALID,0.0,0.0,40.0,United-States,<=50K
74.0,yhopuattiW,,7th-8th,4.0,Married-civ-spouse,farming-fishing,Husband,White,Male,0.0,0.0,20.0,United-States,<=50K.
54.0,Self-emp-not-inc,118365.0,10th,6.0,Divorced,Other-service,Not-in-family,Black,Female,0.0,0.0,10.0,INVALID,<=50K
27.0,Self-emp-not-inc,87745.0,ASSOC-VOC,11.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,70.0,United-States,<=50K.
51.0,Federal-gov,321494.0,HS-grad,9.0,Never-married,Other-service,Not-in-family,INVALID,Male,0.0,0.0,40.0,United-States,<=50K.
59.0,Private,192983.0,12345,9.0,Separated,Other-service,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
23.0,Private,297152.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,Black,Female,0.0,0.0,25.0,United-States,<=50K
51.0,Private,269080.0,7th-8th,4.0,Widowed,Other-service,Unmarried,Blick,Female,0.0,0.0,40.0,United-States,<=50K
51.0,Private,204304.0,Some-college,10.0,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,0.0,50.0,United-States,>50K
21.0,?,405684.0,HS-grad,9.0,Never-married,?,Other-relative,White,Male,0.0,0.0,35.0,Mexico,<=50K
25.0,INVALID,197403.0,,11.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K.
27.0,Private,115831.0,Some-college,10.0,Married-civ-spouse,Other-service,12345,White,Male,0.0,0.0,40.0,United-States,<=50K
56.0,Self-emp-not-inc,26716.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,20.0,United-States,>50K
24.0,Private,215712.0,Some-college,10.0,ream-vNdireer,Other-service,Not-in-family,White,Male,0.0,0.0,35.0,United-States,<=50K
38.0,Private,186191.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,55.0,United-States,<=50K
41.0,Private,206066.0,Some-college,10.0,Married-civ-spouse,INVALID,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
44.0,Private,297991.0,Assoc-acdm,12.0,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0.0,0.0,50.0,United-States,<=50K
29.0,Private,149902.0,Doctorate,16.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,80.0,United-States,<=50K.
25.0,Private,182866.0,HS-grad,9.0,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,united-states,<=50K
31.0,Private,176360.0,HS-grad,9.0,Never-married,Craft-repair,Own-child,Black,Male,0.0,0.0,40.0,United-States,<=50K
51.0,Private,28978.0,Some-college,10.0,Widowed,Other-service,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K.
42.0,Federal-gov,55457.0,10th,6.0,Married-civ-spouse,Adm-clerical,dnuHabs,White,Male,0.0,0.0,40.0,Mexico,<=50K.
74.0,Private,147558.0,Some-college,10.0,Divorced,Sales,Not-in-family,White,Female,7262.0,0.0,30.0,United-States,>50K.
56.0,Private,250873.0,11th,7.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,45.0,United-States,<=l0K
25.0,Private,124111.0,Bachelors,13.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
39.0,Self-emp-inc,167482.0,LINDVIA,12.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,>50K
28.0,Self-emp-not-inc,33363.0,HS-grad,9.0,12345,Farming-fishing,Husband,White,Male,0.0,0.0,70.0,,>50K
28.0,,30912.0,ASSOC-ACDM,12.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K.
57.0,Private,180779.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298.0,0.0,40.0,United-States,>50K
22.0,Private,173736.0,HS-grad,9.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,50.0,United-States,<=50K
51.0,Local-gov,155118.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,70.0,United-States,>50K
55.0,Self-emp-not-inc,95149.0,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,99.0,United-States,<=50K
49.0,Private,186009.0,Some-college,10.0,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,43.0,United-States,<=50K.
30.0,Private,,Bachelors,13.0,Never-married,Prof-specialty,Own-child,White,Female,0.0,0.0,37.0,United-States,<=50K
48.0,Private,101684.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
68.0,Private,284763.0,11th,7.0,Divorced,Transport-moving,Not-in-family,White,Male,0.0,0.0,70.0,United-States,<=50K
27.0,lgvaoLoc-,289039.0,Some-college,10.0,Never-married,protective-serv,Unmarried,Asian-Pac-Islander,INVALID,0.0,0.0,40.0,United-States,<=50K
35.0,Private,104329.0,HS-grad,9.0,Divorced,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K.
34.0,Private,511361.0,Some-college,10.0,Never-married,Other-service,Own-child,Black,Male,0.0,0.0,40.0,United-States,<=50K
66.0,Private,113323.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,20051.0,0.0,40.0,United-States,>50K
18.0,Private,74054.0,11th,7.0,Never-married,Sales,Own-child,Othel,Female,0.0,0.0,20.0,?,<=50K
39.0,Private,329980.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,lMa,0.0,0.0,40.0,United-States,>50K.
42.0,Private,245317.0,10th,6.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,50.0,United-States,LDIANVI
46.0,Private,138370.0,7th-8th,4.0,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0.0,1651.0,40.0,China,<=50K
47.0,Private,195978.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,dnaHsfb,White,Male,0.0,0.0,40.0,United-States,>50K
41.0,?,213416.0,5th-6th,3.0,Married-civ-spouse,?,Husband,White,Male,0.0,0.0,32.0,Mexico,<=50K
57.0,Self-emp-not-inc,914261,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,72.0,United-States,<=50K.
30.0,Private,87561.0,Assoc-acdm,12.0,Never-married,Tech-support,INVALID,White,INVALID,0.0,0.0,40.0,INVALID,<=50K
45.0,Private,72393.0,Bachelors,13.0,Married-spouse-absent,Prof-specialty,Unmarried,White,Female,0.0,0.0,38.0,United-States,<=50K.
44.0,State-gov,166597.0,Masters,14.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
53.0,Private,94081.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,MALE,0.0,0.0,44.0,United-States,>50K
,Private,182203.0,Some-college,10.0,Divorced,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Female,0.0,0.0,40.0,enpiispiPl,<=50K.
55.0,Private,194371.0,HS-grad,9.0,Married-civ-spouse,Sales,Wife,White,Female,0.0,0.0,40.0,Canada,INVALID
39.0,Private,65738.0,Masters,14.0,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,32.0,United-States,<=50K
45.0,Private,125892.0,Masters,14.0,INVALID,Exec-managerial,,White,Male,0.0,1977.0,60.0,United-States,>50K.
51.0,Private,163921.0,Bachelors,13.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,56.0,United-States,>50K
22.0,Private,125010.0,Assoc-voc,11.0,Never-married,-sPrsevrhi-uove,Not-in-family,White,Female,0.0,0.0,30.0,United-States,<=50K
40.0,private,126701.0,9th,5.0,Never-married,Transport-moving,Not-in-family,White,Male,0.0,0.0,45.0,United-States,<=50K
44.0,Private,121130.0,HS-grad,9.0,Divorced,Other-service,INVALID,White,emFae,0.0,0.0,40.0,United-States,<=50K
20.0,Private,212668.0,Some-college,10.0,,Sales,Own-child,White,Female,0.0,0.0,30.0,United-States,<=50K
57.0,Private,79830.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,aMle,0.0,0.0,40.0,United-States,INVALID
38.0,Self-emp-inc,46385.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,INVALID,0.0,0.0,40.0,United-States,<5=0K.
46.0,Private,106662.0,Bachelors,13.0,Separated,Sales,Not-in-family,White,Male,99999.0,0.0,55.0,United-States,>50K.
26.0,INVALID,291586.0,Bachelors,13.0,Never-married,Transport-moving,Own-child,White,Male,0.0,0.0,20.0,United-States,<=50K
29.0,Self-emp-not-inc,212895.0,Some-college,,Divorced,Machine-op-inspct,Not-in-family,White,INVALID,0.0,0.0,48.0,United-States,<=50K
45.0,Self-emp-not-inc,355978.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,60.0,United-States,>50K.
72.0,Self-emp-not-inc,104090.0,BACHELORS,13.0,p-d-scieresvuMrai,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,Sctland,<=50K.
24.0,Private,387663.0,Some-college,10.0,Marrie-dspouse-absent,Farming-fishing,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K.
49.0,ePatvir,914261.0,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,60.0,United-States,<=50K
44.0,Private,113324.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
40.0,Private,34722.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K.
25.0,Private,74977.0,Some-college,10.0,Married-civ-spouse,INVALID,eifW,White,Female,0.0,0.0,40.0,United-States,<=50K
41.0,Private,207685.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,45.0,?,<=50K
49.0,DNAIIVL,201080.0,Some-college,10.0,divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,55.0,United-States,<=50K
35.0,Private,310290.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Wife,Black,Female,0.0,0.0,40.0,INVALID,<=50K
30.0,Private,131415.0,Bachelors,13.0,Never-married,Priv-housi-serv,Not-in-family,White,Female,0.0,0.0,60.0,United-States,<=50K.
20.0,Private,164574.0,HS-grad,9.0,Never-married,Other-service,Own-child,White,INVALID,0.0,0.0,30.0,United-States,<=50K
40.0,Private,197919.0,Assoc-acdm,12.0,Divorced,Sales,Unmarried,INVALID,Female,0.0,0.0,40.0,United-States,<=50
58.0,Self-emp-inc,182062.0,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,24.0,12345,>50K
17.0,Private,197732.0,11th,7.0,Never-married,Other-service,INVALID,White,Female,0.0,0.0,12.0,United-States,<=50K
19.0,Private,63363.0,Some-college,10.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,30.0,United-States,<=50K
46.0,Local-gov,141058.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,65.0,United-States,<=50K
27.0,Private,242207.0,Bachelors,13.0,Never-married,Tech-support,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
39.0,INVALID,177907.0,HS-grad,9.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,1887.0,40.0,INVALID,>50K
35.0,Self-emp-not-inc,187589.0,Bachelors,13.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,7.0,United-States,<=50K.
47.0,Private,151826.0,10th,6.0,Divorced,Tech-support,Unmarried,Black,Female,0.0,0.0,38.0,United-States,<=50K.
44.0,Private,378251.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,38.0,United-States,<=50K
27.0,Private,212578.0,Some-college,10.0,Never-married,Other-service,Own-child,White,Male,0.0,1721.0,20.0,United-States,<=50K.
53.0,Private,341439.0,INVALID,14.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,60.0,United-States,>50K
39.0,State-gov,152307.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
19.0,Private,136758.0,Some-college,10.0,Never-married,Tech-support,Own-child,White,Female,0.0,0.0,10.0,United-States,<=50K.
35.0,INVALID,207066.0,Bachelors,13.0,Never-married,Sales,Not-in-family,White,Male,10520.0,0.0,45.0,United-States,>50K
33.0,Private,118941.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,32.0,United-States,>50K
35.0,Private,51700.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,INVALID,Male,0.0,0.0,40.0,United-States,<=50K.
20.0,12345,309580.0,HS-grad,9.0,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
26.0,Local-gov,113948.0,Bachelors,13.0,Never-married,Protective-serv,Not-in-family,White,Female,0.0,0.0,48.0,United-States,<=50K.
27.0,Private,200227.0,Assoc-voc,11.0,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0.0,0.0,40.0,United-States,<=50K
38.0,Private,83727.0,HS-grad,9.0,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,48.0,United-States,<=50K
64.0,Private,61892.0,HS-grad,9.0,Widowed,Priv-house-serv,Not-in-family,White,Female,0.0,0.0,15.0,United-States,<=50K
31.0,Private,914261.0,Some-college,10.0,INVALID,Sales,Husband,White,Male,0.0,0.0,43.0,United-States,<=50K.
24.0,Private,270872.0,HS-grad,9.0,Never-married,Craft-repair,INVALID,White,Male,594.0,0.0,40.0,?,<=50K
25.0,Self-emp-inc,160261.0,Bachelors,13.0,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Male,0.0,0.0,35.0,Taiwan,<=50K
29.0,Private,29361.0,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,INVALID,0.0,0.0,38.0,United-States,<=50K
